ID,Is_Lead
VBENBARO,0.04648375695353646
CCMEWNKY,0.8581877087263436
VK3KGA9M,0.047128341011554
TT8RPZVC,0.02532872383001625
SHQZEYTZ,0.022751518411823365
MZZAQMPT,0.07788725519534737
Y88TW36I,0.09215948607391741
3UGOAQNU,0.054048957721931544
VVUKMUJT,0.9918408545840831
9R363ZXS,0.15694362623351715
BLISM6JE,0.05312994136274132
CH8S7JK7,0.25760267254805413
EAHDPXEJ,0.8315035523759955
BNUK9PRF,0.32068244055051276
GP2PG6FJ,0.05425776112964237
WNQCSN8A,0.03898354670452926
32DN4YVZ,0.41243988984675467
GXAMDANM,0.05261168881739029
MXETLUP4,0.05988340767114581
MPXK6TVE,0.8492034227960287
LBSIME2K,0.14661258631447044
D6ORJTM6,0.04121135052610311
HGDIBAKA,0.829654248396108
UUZYL9DZ,0.39002598996758125
AUGE3VWK,0.045537507003675
MX7GOX6Q,0.09994209927127035
TQN6K35W,0.06473665289746165
QQDRMQQN,0.5251346567395136
UP6GC6F4,0.051609626311041046
BMHBUVHB,0.6493405377027687
KGLDW86A,0.14310951350650541
FQEOMOP4,0.11482764963716671
DYWM5MEU,0.1746845589841412
DXHGXV8F,0.04230289651334089
AVFBFQKC,0.18008617345032196
DBIDKYMV,0.1275559286176509
KYZHMEBY,0.15594568453624558
SSFEBUGF,0.053510400996280315
MGJTAG8X,0.4490731136029263
MP6BERDO,0.1736405073123201
GXZ8ED68,0.051847121300882995
ICTFGWQR,0.657864560027013
EAYHTRKH,0.02571609693767079
6FN97QLQ,0.09632001465081197
3H5MZDDW,0.3929266500569348
2DXZZWSN,0.03119530956565041
MM4QIRE5,0.07484813185824918
HJWVYXUA,0.13541892635346922
RBRSJUP3,0.8383408613445047
YFRQKGXW,0.4008854727746024
N3SADEBV,0.055127764724557854
G2A2YYXY,0.03664795983283424
XMGA3WT3,0.049335572890858825
KVZQPSGI,0.1684730905809364
UAKARBBG,0.04214486730655609
WYKKL85Z,0.24821896471334373
GHNYYGRR,0.09948296887452067
UBAJANWT,0.05591653375226288
LSARSF7U,0.01747112386565388
4CNSJVVR,0.2421832259963935
JRHJSWYO,0.3229304172185897
FHZ8SVVI,0.06768162032645134
JUIRE47M,0.8426379705383158
GDIVN2GL,0.06166572200611301
WMF3DYE3,0.8018256815951839
MAQEHEWK,0.16378909173572903
2W8DLKFU,0.055168739532607536
AKGRML6H,0.1244164507923407
B7WUUGCY,0.04658446906820897
TLJOYATM,0.45333054670773587
UH6ZDM3W,0.8671519911320222
7IP5SSRR,0.804200520546211
PV85PMEB,0.5246394806676621
FGDOY4NI,0.1292365655796717
7YYIXJQE,0.057174803281941924
BHW42XPW,0.04387396693504271
3PKEEAT4,0.28997209070463587
ACFPZ3LM,0.0578030273111252
6GORGNYN,0.8237456080320604
AEPQTMJK,0.2674033573684299
S6FNZFKK,0.04908299459583665
JTYNEKRQ,0.6990431254876919
GPXDPHHC,0.0561107497278598
O8TMKNNB,0.04980178464061058
XSQVHKYG,0.054431170665435166
